unit,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
NR,TOTAL,T,FR41	2335749 	2339881 	2346361 	2350112 	2350920 	2350657 	2349816 	2345197 	2342397 	2341531 p	2336356 p	2330674 p
NR,TOTAL,T,FR42	1815493 	1827248 	1837087 	1843053 	1845687 	1852325 	1859869 	1868183 	1872949 	1879265 p	1884204 p	1888937 p
NR,TOTAL,T,FR43	1150624 	1158671 	1163931 	1168208 	1171763 	1173440 	1175684 	1177096 	1178072 	1179735 p	1179998 p	1179900 p
NR,TOTAL,T,FR51	3450413 	3482594 	3510170 	3539048 	3571495 	3601113 	3632614 	3660852 	3690833 	3718512 p	3742638 p	3765798 p
NR,TOTAL,T,FR52	3094534 	3120288 	3149701 	3175064 	3199066 	3217767 	3237097 	3258707 	3276543 	3293850 p	3309220 p	3323130 p
NR,TOTAL,T,FR53	1724123 	1739780 	1752708 	1760575 	1770363 	1777773 	1783991 	1789779 	1797698 	1802873 p	1807170 p	1811206 p
NR,TOTAL,T,FR61	3119778 	3150890 	3177625 	3206137 	3232352 	3254233 	3285970 	3316889 	3343326 	3370578 p	3396364 p	3422179 p
NR,TOTAL,T,FR62	2776822 	2810247 	2838228 	2862707 	2881756 	2903420 	2926592 	2954157 	2979161 	3001502 p	3024327 p	3046465 p
NR,TOTAL,T,FR63	730920 	737001 	740743 	741785 	742771 	741072 	738633 	737509 	738120 	738031 p	736983 p	735908 p
NR,TOTAL,T,FR71	6021346 	6065959 	6117229 	6174040 	6230691 	6283541 	6341160 	6399927 	6460505 	6515331 p	6569276 p	6621564 p
NR,TOTAL,T,FR72	1335938 	1339247 	1341863 	1343964 	1347387 	1350682 	1354104 	1357668 	1360461 	1362367 p	1363924 p	1365263 p
NR,TOTAL,T,FR81	2534144 	2560870 	2581718 	2610890 	2636350 	2670046 	2700266 	2729721 	2751592 	2772683 p	2794804 p	2815936 p
NR,TOTAL,T,FR82	4815232 	4864015 	4882913 	4889053 	4899155 	4916069 	4935576 	4953675 	4983438 	5007977 p	5028341 p	5047942 p
NR,TOTAL,T,FR83	294118 	299209 	302966 	305674 	309693 	314486 	316257 	320208 	324212 	327283 p	330752 p	334283 p
NR,TOTAL,T,FRA1	: 	: 	: 	: 	: 	: 	: 	437713 	435293 	433674 p	431602 p	429085 p
NR,TOTAL,T,FRA2	397732 	397730 	397693 	396404 	394173 	392291 	388364 	385551 	383911 	380877 p	378043 p	374780 p
NR,TOTAL,T,FRA3	205954 	213031 	219266 	224469 	229040 	237549 	239648 	244118 	252338 	259865 p	266812 p	274153 p
NR,TOTAL,T,FRA4	781962 	794107 	808250 	816364 	821136 	828581 	833944 	835103 	842767 	850727 p	855992 p	860815 p
NR,TOTAL,T,FRA5	: 	: 	: 	: 	: 	: 	: 	: 	: 	230315 p	239532 p	249154 p
NR,TOTAL,T,HR03	1399795 	1406970 	1412009 	1415015 	1415971 	1413426 	1410551 	1407798 	1405908 	1402229 	1394290 	1387363 
NR,TOTAL,T,HR04	2912692 	2906560 	2899958 	2894781 	2886876 	2876431 	2865433 	2854342 	2840901 	2823087 	2796379 	2766850 
NR,TOTAL,T,HU10	2855670 	2872678 	2897317 	2925500 	2951436 	2971246 	2940818 b	2953883 	2965413 	2983733 	2993948 	3000076 
NR,TOTAL,T,HU21	1108124 	1107453 	1104841 	1103132 	1098654 	1094104 	1079589 b	1074702 	1069190 	1063408 	1060703 	1056097 
NR,TOTAL,T,HU22	1000142 	999361 	997939 	998187 	996390 	994698 	984399 b	985279 	984521 	983925 	983933 	983251 
NR,TOTAL,T,HU23	970700 	967677 	960088 	952982 	947986 	940585 	931215 b	925180 	917492 	909130 	900868 	894223 
NR,TOTAL,T,HU31	1261489 	1251441 	1236690 	1223238 	1209142 	1194697 	1200831 b	1189441 	1176894 	1164813 	1153714 	1143902 
NR,TOTAL,T,HU32	1533162 	1525317 	1514020 	1502409 	1492502 	1481922 	1498795 b	1491659 	1484375 	1479522 	1474383 	1468088 
NR,TOTAL,T,HU33	1347294 	1342231 	1334506 	1325527 	1318214 	1308470 	1296278 b	1288654 	1279480 	1271040 	1262936 	1251924 
NR,TOTAL,T,IE01	1125639 	1160174 	1191149 	1215848 	1227429 	1237715 	1241885 	1247029 	1247591 	1250075 	1259673 	1274988 
NR,TOTAL,T,IE02	3082517 	3179944 	3266616 	3305474 	3321999 	3333166 	3347402 	3362750 	3390261 	3427552 	3466613 	3509395 
NR,TOTAL,T,IS00	299891 	307672 	315459 	319368 	317630 	318452 	319575 	321857 	325671 	329100 	332529 	338349 
NR,TOTAL,T,ITC1	4279510 	4285466 	4332069 	4356322 	4362041 	4364309 	4357663 	4374052 	4436798 	4424467 	4404246 	4392526 
NR,TOTAL,T,ITC2	123969 	124654 	125550 	126369 	126686 	126761 	126620 	127844 	128591 	128298 	127329 	126883 
NR,TOTAL,T,ITC3	1574148 	1572551 	1573333 	1577301 	1576443 	1574132 	1567339 	1565127 	1591939 	1583263 	1571053 	1565307 
NR,TOTAL,T,ITC4	9341231 	9393968 	9469841 	9545515 	9600951 	9663872 	9700881 	9794525 	9973397 	10002615 	10008349 	10019166 
NR,TOTAL,T,ITF1	1283830 	1285456 	1297991 	1306029 	1307778 	1307273 	1306416 	1312507 	1333939 	1331574 	1326513 	1322247 
NR,TOTAL,T,ITF2	318297 	317206 	317655 	316955 	315536 	314342 	313145 	313341 	314725 	313348 	312027 	310449 
NR,TOTAL,T,ITF3	5741383 	5737883 	5750281 	5750382 	5758375 	5765850 	5764424 	5769750 	5869965 	5861529 	5850850 	5839084 
NR,TOTAL,T,ITF4	4033405 	4032130 	4040624 	4043827 	4048007 	4053668 	4050072 	4050803 	4090266 	4090105 	4077166 	4063888 
NR,TOTAL,T,ITF5	589480 	585732 	584871 	583556 	581140 	579358 	577562 	576194 	578391 	576619 	573694 	570365 
NR,TOTAL,T,ITF6	1978390 	1967632 	1974058 	1970780 	1966336 	1962856 	1958418 	1958238 	1980533 	1976631 	1970521 	1965128 
NR,TOTAL,T,ITG1	4969155 	4967981 	4981526 	4990588 	4997429 	5005657 	4999854 	4999932 	5094937 	5092080 	5074261 	5056641 
