unit;hazard;wst_oper;waste;geo\time;2016;2014;2012;2010;2008;2006;2004
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;CY;881;696;450;1665;947;242;412
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;CZ;1703;1457;1290;1262;1294;1109;1543
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;DE;3226;3114;3037;2954;3110;3048;2590
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;DK;1709;1833;1378;1402;1872;1984;1621
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;EE;4945;5031;9147;4473;4080;4609;2645
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;EL;: ;699;758;1054;474;955;310
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;ES;981;1083;1217;1724;1531;953;720
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;EU28;2165 s;2134;2110;2102;2170;2069;1803
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;FI;1687;2354;5855;5966;4301;3530;3304
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;FR;2981;2913;2924;3096;3031;2771 s;2785 s
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;HR;452;388;243;94;89;153;98
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;HU;822;707;511;513;542;319;219
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;IE;1399;1073;611;736;2320;3618;2854
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;IS;2357;1836;1081;1009;1392;: ;283
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;IT;1773;1640;1662;1570;1493;1301;991
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;LT;630;438;357;343;426;371;305
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;LU;11463;9091;12477;12158;10869;13603;11708
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;LV;683;549;397;149;297;205;134
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;ME;13;16;: ;: ;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;MK;: ;0;33;161;158;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;MT;2667;2539;1314;427;430;357;126
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;NL;3745;3514;3574;3489;4055;3779;3510
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;NO;962;954;886;525;952;881;584
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;PL;2933;3453;3049;2883;2787;3614;2555
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;PT;496;526;437;456;434;793;967
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;RO;398;381;434;371;398;220;305
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;RS;244;180;110;78;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;SE;2337;1827;2049;1769;1065;1674;1453
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;SI;2038;2251;1977;1896;1504;1004;1478
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;SK;653;536;490;660;720;945;1222
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;TR;: ;: ;: ;: ;206;21;142
KG_HAB;HAZ_NHAZ;RCV_R_B;TOTAL;UK;1842;1826;1658;1752;2314;1790;1429
T;HAZ_NHAZ;RCV_E;TOTAL;AL;: ;6144;: ;: ;: ;: ;: 
T;HAZ_NHAZ;RCV_E;TOTAL;AT;: c;3523528;3308205;1364197;3904365;4377951;3630429
T;HAZ_NHAZ;RCV_E;TOTAL;BE;5490423;5536496;4713913;4797443;4452593;1740316;629430 e
T;HAZ_NHAZ;RCV_E;TOTAL;BG;461872;193684;171682;143940;94398;8430;47831
T;HAZ_NHAZ;RCV_E;TOTAL;CY;74111;30894;11167;7481;8031;9903;17934
T;HAZ_NHAZ;RCV_E;TOTAL;CZ;1032496;1016415;959049;767287;555769;650144;787987
T;HAZ_NHAZ;RCV_E;TOTAL;DE;43488132;38987091;33953170;28422963;23315910;17320807;11391797
T;HAZ_NHAZ;RCV_E;TOTAL;DK;3715843;3556470;3423602;3336298;3319510;3221341;0
T;HAZ_NHAZ;RCV_E;TOTAL;EE;506587;513932;348519;336368;257234;256567;267861
T;HAZ_NHAZ;RCV_E;TOTAL;EL;: ;137441;118046;126148;135183;15727;45715
T;HAZ_NHAZ;RCV_E;TOTAL;ES;3829151;3535204;3269202;2523031;2551895;3612112;3173976
