phenomenon,unit,geo_nuts,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
RCV_E,THS_T,HU31,0,0,0,0,0,0,,,,,,,,
RCV_E,THS_T,HU32,0,0,0,0,0,0,,,,,,,,
RCV_E,THS_T,HU33,0,0,0,0,0,0,,,,,,,,
RCV_E,THS_T,IE,,,,59.74,110.95,81.58,0,0,0,0,0,0,0,0
RCV_E,THS_T,IE01,,,,0.69,,,,,,,,,,
RCV_E,THS_T,IE02,,,,59.05,,,,,,,,,,
RCV_E,THS_T,IT,,,,5375,4726,4341,3997.16,4082.24,3775.52,3468.36,3109.61,2508.81,2424.68,2066.14
RCV_E,THS_T,ITC1,185.04,109.43,163.67,,,,,,,,,,,
RCV_E,THS_T,ITC4,2220.49,2137.27,2121.11,,,,,,,,,,,
RCV_E,THS_T,ITF2,91.35,92.12,99.77,,,,,,,,,,,
RCV_E,THS_T,ITF3,672.94,623.46,610.32,,,,,,,,,,,
RCV_E,THS_T,ITF4,107.39,96.78,121.15,,,,,,,,,,,
RCV_E,THS_T,ITF5,30.34,29.81,22.99,,,,,,,,,,,
RCV_E,THS_T,ITF6,27.63,57.73,76.47,,,,,,,,,,,
RCV_E,THS_T,ITG2,127.63,140.04,141.05,,,,,,,,,,,
RCV_E,THS_T,ITH1,80.81,66.58,64.21,,,,,,,,,,,
RCV_E,THS_T,ITH3,354.15,381.01,311.73,,,,,,,,,,,
RCV_E,THS_T,ITH4,160.22,164.1,157.27,,,,,,,,,,,
RCV_E,THS_T,ITH5,991.57,954.45,988.78,,,,,,,,,,,
RCV_E,THS_T,ITI1,300.94,295.83,260.16,,,,,,,,,,,
RCV_E,THS_T,ITI2,,5.3,,,,,,,,,,,,
RCV_E,THS_T,ITI3,2.17,2.36,14.47,,,,,,,,,,,
RCV_E,THS_T,ITI4,386.37,372.76,358.58,,,,,,,,,,,
RCV_E,THS_T,LT,91.339,0,5.67,1,0.12,0.36,0.2,0,0,0,0,0,0,0
RCV_E,THS_T,LT00,91,0,6,1,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,LU,123,121,124,123,121,124,123,120,117,122.18,119.17,122.15,120.89,123.12
RCV_E,THS_T,LU00,123,121,124,123,121,124,123,120,117,122,119,122,121,123
RCV_E,THS_T,LV,0,0,0,0,1,3,3,5,7,14.1,11.06,12.67,9.35,0
RCV_E,THS_T,LV00,0,0,0,0,1,3,3,5,7,14,11,13,9,0
RCV_E,THS_T,MK,0,0,0,0,0,0,,,,,,,,
RCV_E,THS_T,MK00,0,0,0,0,0,0,,,,,,,,
RCV_E,THS_T,MT,1,1,3,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,MT00,1,1,3,0,0,0,0,0,0,0,0,0,0,0
RCV_E,THS_T,NL,4200,4405,3956,2842,850,869,0,0,0,3281,3194,3124,3181,3021
RCV_E,THS_T,NL11,153,163,147,108,33,33 bd,,,,22,22,19,37,27
RCV_E,THS_T,NL12,157,161,144,106,35,35 bd,0,0,0,1,1,3,4,3
RCV_E,THS_T,NL13,125,130,117,85,27,28 bd,0,0,0,9,16,6,9,30
RCV_E,THS_T,NL21,241,263,249,179,52,54 bd,0,0,0,181,209,195,204,230
RCV_E,THS_T,NL22,410,436,388,278,85,88 bd,0,0,0,204,210,274,225,189
RCV_E,THS_T,NL23,96,101,86,61,20,21 bd,0,0,0,97,95,111,94,100
RCV_E,THS_T,NL31,317,333,295,211,62,65 bd,0,0,0,298,309,368,361,358
RCV_E,THS_T,NL32,796,826,731,513,141,146 bd,0,0,0,721,711,738,768,744
RCV_E,THS_T,NL33,1087,1131,1002,722,202,201 bd,0,0,0,1032,1021,984,1017,967
RCV_E,THS_T,NL34,112,115,105,76,24,24 bd,0,0,0,92,76,41,38,35
RCV_E,THS_T,NL41,505,537,494,360,118,121 bd,0,0,0,441,361,259,298,213
RCV_E,THS_T,NL42,201,209,198,143,51,53 bd,0,0,0,183,163,126,126,125
RCV_E,THS_T,NO,898.87,857.3,1027.22,890.33,724.5,872.51,702.42,675.28,655.56,587.3,597.93,542.96,481.11,
RCV_E,THS_T,NO01,188.09,194.88,244.71,240.67,243.75,,,,,,,,,
RCV_E,THS_T,NO02,63.36,64.6,76.15,60.95,41.07,,,,,,,,,
RCV_E,THS_T,NO03,185.13,175.7,203.79,187.09,158.07,,,,,,,,,
RCV_E,THS_T,NO04,125.5,118.42,138.61,101.61,50.33,,,,,,,,,
RCV_E,THS_T,NO05,172.85,155.06,183.32,153.37,116.77,,,,,,,,,
RCV_E,THS_T,NO06,78.23,71.49,93.82,78.39,67.37,,,,,,,,,
RCV_E,THS_T,NO07,85.71,77.15,86.82,68.25,47.14,,,,,,,,,
RCV_E,THS_T,PL,562.96,0,,,,,,,,,,,,
RCV_E,THS_T,PL11,44.76,0,,,,,,,,,,,,
RCV_E,THS_T,PL12,122.28,0,,,,,,,,,,,,
RCV_E,THS_T,PL21,34.79,0,,,,,,,,,,,,
RCV_E,THS_T,PL22,11.73,0,,,,,,,,,,,,
RCV_E,THS_T,PL31,46.28,0,,,,,,,,,,,,
RCV_E,THS_T,PL32,15.46,0,,,,,,,,,,,,
RCV_E,THS_T,PL33,0.14,0,,,,,,,,,,,,
RCV_E,THS_T,PL34,7.73,0,,,,,,,,,,,,
RCV_E,THS_T,PL41,20.59,0,,,,,,,,,,,,
RCV_E,THS_T,PL42,26.65,0,,,,,,,,,,,,
RCV_E,THS_T,PL43,4.91,0,,,,,,,,,,,,
RCV_E,THS_T,PL51,105.38,0,,,,,,,,,,,,
RCV_E,THS_T,PL52,39.38,0,,,,,,,,,,,,
RCV_E,THS_T,PL61,7.17,0,,,,,,,,,,,,
RCV_E,THS_T,PL62,25.05,0,,,,,,,,,,,,
RCV_E,THS_T,PL63,50.66,0,,,,,,,,,,,,
RCV_E,THS_T,PT,1090.623,929.809,1088.266,1058.39,1082.84,992.95,947.91,978.08,1056.75,993.46,1002.01,943.93,,
RCV_E,THS_T,PT11,369.852,371.466,387.272,366.09,388.2,386.75,409.08,360.25,388.9,394.79,396.1,391.06,,
RCV_E,THS_T,PT15,0,0,0,0,0,0,0,0,0,0,0,0,,
RCV_E,THS_T,PT16,7.346,26.801,32.799,22.35,2.49,0,0,0,0,0,0,0,,
RCV_E,THS_T,PT17,614.597,422.039,546.18,541.64,567.9,482.51,416.41,494.33,548.2,481.96,495.8,523.66,,
RCV_E,THS_T,PT18,1.457,3.828,6.739,4.36,0.3,0,0,0,0,0,0,0,,
