phenomenon,unit,waste,geo_nuts,2016,2014,2012,2010,2008,2006,2004
RCV_R_B,T,TOTAL,LU,6671375,5057422,6624863,6163387,5311371,6429056,5363409
RCV_R_B,T,TOTAL,LV,1337466,1094358,807758,312398,646239,455855,303627
RCV_R_B,T,TOTAL,ME,8016,10174,,,,,
RCV_R_B,T,TOTAL,MK,,159,67533,330588,322550,,
RCV_R_B,T,TOTAL,MT,1214389,1103369,551707,176954,176159,144593,50605
RCV_R_B,T,TOTAL,NL,63770231,59257658,59880430,57964213,66692585,61770469,57142955
RCV_R_B,T,TOTAL,NO,5035940,4901532,4446057,2565887,4541615,4103995,2683076
RCV_R_B,T,TOTAL,PL,111383892,131267418,116044432,109694779,106245911,137846646,97561003
RCV_R_B,T,TOTAL,PT,5123675,5468794,4598295,4819912,4584414,8348498,10139325
RCV_R_B,T,TOTAL,RO,7837525,7584057,8714402,7521694,8171505,4668368,6544500
RCV_R_B,T,TOTAL,RS,1721789,1285494,793258,565311,,,
RCV_R_B,T,TOTAL,SE,23188834,17711585,19506447,16587093,9817659,15199944,13065467
RCV_R_B,T,TOTAL,SI,4208063,4642292,4067433,3884622,3039793,2013964,2951002
RCV_R_B,T,TOTAL,SK,3544967,2901858,2650771,3559221,3874782,5075053,6565340
RCV_R_B,T,TOTAL,TR,,,,,14626644,1464412,9623081
RCV_R_B,T,TOTAL,UK,120812717,117970988,105599508,109952213,143007631,108936814,85734543
