wst_oper,unit,geo\time,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
DSP_I,THS_T,TR82,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,TR83,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,TR90,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,TRA1,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,TRA2,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,TRB1,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,TRB2,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,TRC1,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,TRC2,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,TRC3,: ,: ,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,UKC1,: ,: ,0.01,0.01,0.01,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKC2,: ,: ,0.01,0.01,0,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKD1,: ,: ,0.02,0.01,0.03,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKD3,: ,: ,0.03,0.04,0.13,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKD4,: ,: ,0.17,0.29,0.21,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKE1,: ,: ,0,0,0,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKE2,: ,: ,0,0,0,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKE3,: ,: ,0.01,0.09,0.15,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKE4,: ,: ,0.37,0.36,0.37,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKF1,: ,: ,0,0,0,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKF2,: ,: ,0,0,0,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKF3,: ,: ,0,0,0,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKG1,: ,: ,0.13,0.11,0.06,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKG2,: ,: ,0,0.11,0.14,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKG3,: ,: ,0.07,0.11,0.12,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKH1,: ,: ,0.12,0.11,0.53,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKH2,: ,: ,0,0,0,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKH3,: ,: ,0,0,0,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKI1,: ,: ,0.01,0.12,0.04,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKI2,: ,: ,0.01,0,0.47,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKJ1,: ,: ,0.23,0.31,0.29,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKJ2,: ,: ,0.04,0,0,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKJ3,: ,: ,0,0,0.01,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKJ4,: ,: ,0,0,0,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKK1,: ,: ,0.01,0.01,0,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKK2,: ,: ,0,0,0,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKK3,: ,: ,2.6,2.63,2.73,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKK4,: ,: ,0.55,0.51,0.64,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKL1,: ,: ,0.47,0.5,0.55,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKL2,: ,: ,0.16,0.18,0.22,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKM2,: ,: ,0,0,0,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKM3,: ,: ,0,0,0,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKM5,: ,: ,0,0,0,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKM6,: ,: ,0,0,0,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,UKN0,: ,: ,0,0,0,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,AT,1715.35,1692.41,1678.01,1636.21,1440.4,1357.01,1453.11,1429.5,1309.8,1379.95,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,AT11,42.16,41.78,40.14,28.12,20,19.53,20.71,: ,: ,11.56,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,AT12,334.18,321.69,327.72,317.11,289.15,278.03,285.12,: ,: ,291.02,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,AT13,564.94,556.62,563.69,541.38,579.83,568.53,577.37,: ,: ,607.55,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,AT21,120.99,119.74,118.9,111.79,108.4,99.73,97.41,: ,: ,56.58,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,AT22,146.61,143.64,145.75,145.26,112.76,109,118.47,: ,: ,148.92,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,AT31,265.63,273.37,250.18,238.28,172.39,165.88,225.33,: ,: ,174.86,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,AT32,58.86,58.45,58.76,80.1,57.66,56.99,63.82,: ,: ,53.32,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,AT33,143.88,142.49,138.63,141.71,77.34,36.16,42.72,: ,: ,27.99,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,AT34,38.1,34.63,34.24,32.46,22.87,23.16,22.16,: ,: ,8.15,: ,: ,: ,: 
DSP_I_RCV_E,THS_T,BE,2176.14,2101.25,2055.6,1984.16,1941.5,2013.25,1774.88,1749.603,1684.39,1613.87,1584.07,1635.23,1597.73,1472.59
DSP_I_RCV_E,THS_T,BE10,315.4,320.99,315.98,305.74,335.69,399.1,405.58,411.193,429.8,360.11,360.22,385.05,389.13,395.16
DSP_I_RCV_E,THS_T,BE21,281.45,272.12,255.3,267,239,244,232,226,195,177,168,171,141,110
DSP_I_RCV_E,THS_T,BE22,118.97,118.98,119.48,118,120,119,115,114,89,107,86,74,73,69
DSP_I_RCV_E,THS_T,BE23,251.59,252.56,238.6,236,229,234,239,236,238,229,239,246,246,232
DSP_I_RCV_E,THS_T,BE24,172.34,171.54,165.81,154,153,157,162,155,147,150,147,149,146,113
DSP_I_RCV_E,THS_T,BE25,227.51,229.15,225.13,223,227,241,247,246,247,251,247,270,254,262
DSP_I_RCV_E,THS_T,BE31,87,76.85,77.15,74.86,67.13,70.29,: ,: ,: ,: ,: ,: ,: ,: 
